company_name,website,industry,employees,country,city,description,tier,tier_score,scoring_reason,recommended_persona
Clínica Estética Lorena,clinicalorena.es,Beauty,25,Spain,Madrid,Aesthetic clinic and medical beauty centre with 3 locations,Tier 1,10,"Tier 1: Primary industry (Beauty), B2C, 25 employees in sweet spot, Spain, 3 locations = expansion signal — perfect fit.",Head of Marketing / Clinic Manager
Centro Médico Valencia,centromedicovalencia.es,Healthcare,60,Spain,Valencia,Private diagnostic and specialist clinic,Tier 1,10,"Tier 1: Primary industry (Healthcare), B2C, 60 employees, Spain — ideal for appointment and reminder automation.",Head of CS / Operations Director
Inmobiliaria Costa Sol,costasol.es,Real Estate,35,Spain,Malaga,Property agency specialising in coastal and holiday properties,Tier 1,10,"Tier 1: Primary industry (Real Estate), B2C, 35 employees, Spain — portal lead response automation is a strong fit.",Sales Director / Head of Marketing
Auto Barcelona Premium,autobarcelona.es,Automotive,80,Spain,Barcelona,Multi-brand car dealership and service centre,Tier 1,10,"Tier 1: Primary industry (Automotive), B2C, 80 employees, Spain — lead qualification and service reminders are high-value use cases.",Sales Director
Academia de Idiomas Marta,academialomas.es,Education,18,Spain,Seville,Language school offering English Spanish and French courses,Tier 1,8,"Tier 1: Secondary industry (Education), B2C, 18 employees (slightly small, -1), Spain — open day no-show reduction and enrollment flows are relevant.",General Manager / Founder
Hotel Rural Pirineos,hotelpirineos.es,Travel,45,Spain,Huesca,4-star rural hotel and spa in the Pyrenees,Tier 1,9,"Tier 1: Secondary industry (Travel), B2C, 45 employees, Spain — pre-arrival upsell and booking confirmation automation is high value for a hotel with spa.",Head of Marketing / General Manager
Sofá & Decor Milano,sofadecor.it,Home,30,Italy,Milan,Furniture and interior design showroom,Tier 1,9,"Tier 1: Secondary industry (Home), B2C, 30 employees, Italy — warm Meta lead → showroom booking is the core use case.",Head of Marketing / General Manager
Clinica Dental Roma,clinicadental-roma.it,Healthcare,22,Italy,Rome,Private dental clinic with 2 locations,Tier 1,10,"Tier 1: Primary industry (Healthcare/Dental), B2C, 22 employees, Italy, 2 locations = expansion signal — appointment automation and reminder flows are perfect fit.",Clinic Manager / Operations Director
Moda Sostenibile,modasostenibile.it,Fashion,15,Italy,Florence,D2C sustainable fashion brand selling online,Tier 1,8,"Tier 1: Secondary industry (Fashion D2C), D2C, 15 employees (slightly small, -1), Italy — cart abandonment recovery and post-purchase loyalty flows via WhatsApp.",Head of Marketing / Founder
Inmobiliaria Alicante Mar,alicante-mar.es,Real Estate,28,Spain,Alicante,Coastal property agency for residential and investment buyers,Tier 1,10,"Tier 1: Primary industry (Real Estate), B2C, 28 employees, Spain — portal lead automation before competitors is the core pitch.",Sales Director / Head of Marketing
SolarGreen España,solargreen.es,Energy,55,Spain,Zaragoza,Solar panel installation and maintenance company,Tier 2,6,"Tier 2: Tertiary industry (Energy, 1pt), mixed B2C/B2B (1pt), 55 employees, Spain — residential solar lead qualification is viable but lower priority.",Head of Marketing / Sales Director
Evento Magico,eventomagico.it,Events,12,Italy,Naples,Corporate and private events organiser,Tier 2,7,"Tier 2: Secondary industry (Events, 2pt), mixed B2C/B2B (1pt), 12 employees (slightly small, 1pt), Italy — event reminder automation is relevant but company size and mixed model reduce priority.",General Manager / Founder
Autocentro Torino,autocentrotorino.it,Automotive,95,Italy,Turin,Toyota and Kia dealership with full service centre,Tier 1,10,"Tier 1: Primary industry (Automotive), B2C, 95 employees, Italy — multi-brand dealership with service centre is ideal for lead qualification and ITV/service reminders.",Sales Director
Bellezza Pura,bellezzapura.it,Beauty,20,Italy,Bologna,Aesthetic and wellness centre,Tier 1,10,"Tier 1: Primary industry (Beauty), B2C, 20 employees, Italy — no-show reduction and rebooking automation are the core use case.",Head of Marketing / Owner
Corsi Online Italia,corsionline.it,Education,40,Italy,Milan,Online training academy for professional certifications,Tier 1,9,"Tier 1: Secondary industry (Education), B2C, 40 employees, Italy — online academy is strong for enrollment automation and course reminder flows.",Head of Marketing / Digital Marketing Manager
Agencia Seguros Madrid,seguros-madrid.es,Finance,65,Spain,Madrid,Independent insurance broker for SMEs and families,Tier 1,8,"Tier 1: Secondary industry (Finance/Insurance, 2pt), mixed B2C/B2B serving families and SMEs (1pt), 65 employees, Spain — policy renewal reminders and frictionless KYC via WhatsApp.",Sales Director / Head of Sales
TechWear Barcelona,techwear.es,Fashion,22,Spain,Barcelona,D2C sports and tech clothing brand,Tier 1,9,"Tier 1: Secondary industry (Fashion D2C, 2pt), D2C model (2pt), 22 employees, Spain — cart abandonment recovery and post-purchase loyalty flows.",Head of Marketing / Founder
Frutas Frescas Direct,frutasfrescas.es,Food,110,Spain,Murcia,Direct-to-consumer fresh produce delivery,Tier 1,8,"Tier 1: Tertiary industry (Food/D2C, 1pt), strong D2C model (2pt), 110 employees, Spain — delivery confirmations and subscription retention via WhatsApp.",Head of Marketing / General Manager
Distribuciones Lopez,distribuciones-lopez.es,Logistics,200,Spain,Valencia,Regional logistics and last-mile delivery company,Tier 2,6,"Tier 2: Tertiary industry (Logistics, 1pt), mixed B2B/B2C model (1pt), 200 employees, Spain — last-mile delivery notifications are relevant but primarily a B2B operation.",Operations Director
Centro Fitness Roma,centrofitness-roma.it,Healthcare,18,Italy,Rome,Private wellness and fitness centre,Tier 1,9,"Tier 1: Primary industry (Healthcare/Wellness), B2C, 18 employees (slightly small, -1), Italy — class booking automation and membership retention flows.",General Manager / Owner
