company_name,website,industry,employees,country,city,description
Clínica Estética Lorena,clinicalorena.es,Beauty,25,Spain,Madrid,Aesthetic clinic and medical beauty centre with 3 locations
Centro Médico Valencia,centromedicovalencia.es,Healthcare,60,Spain,Valencia,Private diagnostic and specialist clinic
Inmobiliaria Costa Sol,costasol.es,Real Estate,35,Spain,Malaga,Property agency specialising in coastal and holiday properties
Auto Barcelona Premium,autobarcelona.es,Automotive,80,Spain,Barcelona,Multi-brand car dealership and service centre
Academia de Idiomas Marta,academialomas.es,Education,18,Spain,Seville,Language school offering English Spanish and French courses
Hotel Rural Pirineos,hotelpirineos.es,Travel,45,Spain,Huesca,4-star rural hotel and spa in the Pyrenees
Sofá & Decor Milano,sofadecor.it,Home,30,Italy,Milan,Furniture and interior design showroom
Clinica Dental Roma,clinicadental-roma.it,Healthcare,22,Italy,Rome,Private dental clinic with 2 locations
Moda Sostenibile,modasostenibile.it,Fashion,15,Italy,Florence,D2C sustainable fashion brand selling online
Inmobiliaria Alicante Mar,alicante-mar.es,Real Estate,28,Spain,Alicante,Coastal property agency for residential and investment buyers
SolarGreen España,solargreen.es,Energy,55,Spain,Zaragoza,Solar panel installation and maintenance company
Evento Magico,eventomagico.it,Events,12,Italy,Naples,Corporate and private events organiser
Autocentro Torino,autocentrotorino.it,Automotive,95,Italy,Turin,Toyota and Kia dealership with full service centre
Bellezza Pura,bellezzapura.it,Beauty,20,Italy,Bologna,Aesthetic and wellness centre
Corsi Online Italia,corsionline.it,Education,40,Italy,Milan,Online training academy for professional certifications
Agencia Seguros Madrid,seguros-madrid.es,Finance,65,Spain,Madrid,Independent insurance broker for SMEs and families
TechWear Barcelona,techwear.es,Fashion,22,Spain,Barcelona,D2C sports and tech clothing brand
Frutas Frescas Direct,frutasfrescas.es,Food,110,Spain,Murcia,Direct-to-consumer fresh produce delivery
Distribuciones Lopez,distribuciones-lopez.es,Logistics,200,Spain,Valencia,Regional logistics and last-mile delivery company
Centro Fitness Roma,centrofitness-roma.it,Healthcare,18,Italy,Rome,Private wellness and fitness centre
